scheduled_departure_date_local,scheduled_arrival_station_code,daily_rank,difficulty_score
2025-08-01,BRU,29.00,0.28
2025-08-01,CDG,14.00,0.32
2025-08-01,CUN,7.00,0.36
2025-08-01,CUN,163.00,0.19
2025-08-01,FRA,25.00,0.30
2025-08-01,FRA,28.00,0.29
2025-08-01,GRU,17.00,0.32
2025-08-01,HND,38.00,0.26
2025-08-01,HNL,18.00,0.31
2025-08-01,PUJ,128.00,0.20
2025-08-02,AUA,28.00,0.29
2025-08-02,BRU,45.00,0.26
2025-08-02,CDG,59.00,0.24
2025-08-02,CUN,3.00,0.38
2025-08-02,CUN,187.00,0.17
2025-08-02,FRA,114.00,0.20
2025-08-02,FRA,33.00,0.28
2025-08-02,GRU,32.00,0.28
2025-08-02,HND,75.00,0.22
2025-08-02,HNL,57.00,0.24
2025-08-02,NAS,23.00,0.30
2025-08-02,PUJ,54.00,0.25
2025-08-03,AUA,21.00,0.30
2025-08-03,BRU,22.00,0.30
2025-08-03,CDG,34.00,0.28
2025-08-03,CUN,64.00,0.24
2025-08-03,CUN,2.00,0.40
2025-08-03,FRA,72.00,0.24
2025-08-03,FRA,51.00,0.26
2025-08-03,GRU,7.00,0.34
2025-08-03,HND,71.00,0.24
2025-08-03,HNL,33.00,0.28
2025-08-03,NAS,1.00,0.44
2025-08-03,PUJ,30.00,0.29
2025-08-04,BRU,1.00,0.45
2025-08-04,CDG,104.00,0.19
2025-08-04,CUN,58.00,0.24
2025-08-04,CUN,3.00,0.42
2025-08-04,FRA,47.00,0.26
2025-08-04,FRA,76.00,0.21
2025-08-04,GRU,15.00,0.32
2025-08-04,HND,36.00,0.28
2025-08-04,HNL,21.00,0.31
2025-08-04,PUJ,48.00,0.26
2025-08-05,BRU,11.00,0.35
2025-08-05,CDG,70.00,0.22
2025-08-05,CUN,45.00,0.25
2025-08-05,CUN,4.00,0.38
2025-08-05,FRA,69.00,0.22
2025-08-05,FRA,147.00,0.18
2025-08-05,GRU,24.00,0.30
2025-08-05,HND,47.00,0.25
2025-08-05,HNL,27.00,0.30
2025-08-05,PUJ,118.00,0.19
2025-08-06,BRU,10.00,0.34
2025-08-06,CDG,18.00,0.31
2025-08-06,CUN,76.00,0.23
2025-08-06,CUN,67.00,0.24
2025-08-06,FRA,35.00,0.27
2025-08-06,FRA,33.00,0.28
2025-08-06,GRU,20.00,0.31
2025-08-06,HND,52.00,0.25
2025-08-06,HNL,23.00,0.30
2025-08-06,PUJ,70.00,0.23
2025-08-07,BRU,15.00,0.33
2025-08-07,CDG,82.00,0.22
2025-08-07,CUN,17.00,0.33
2025-08-07,CUN,97.00,0.22
2025-08-07,FRA,62.00,0.24
2025-08-07,FRA,43.00,0.27
2025-08-07,GRU,16.00,0.33
2025-08-07,HND,214.00,0.17
2025-08-07,HNL,20.00,0.32
2025-08-07,PUJ,112.00,0.21
2025-08-08,BRU,12.00,0.33
2025-08-08,CDG,11.00,0.33
2025-08-08,CUN,71.00,0.23
2025-08-08,CUN,158.00,0.19
2025-08-08,FRA,13.00,0.32
2025-08-08,FRA,1.00,0.44
2025-08-08,GRU,19.00,0.29
2025-08-08,HND,155.00,0.19
2025-08-08,HNL,34.00,0.27
2025-08-08,PUJ,49.00,0.24
2025-08-09,AUA,17.00,0.29
2025-08-09,BRU,99.00,0.18
2025-08-09,CDG,97.00,0.18
2025-08-09,CUN,3.00,0.35
2025-08-09,CUN,42.00,0.24
2025-08-09,FRA,50.00,0.23
2025-08-09,FRA,60.00,0.21
2025-08-09,GRU,46.00,0.23
2025-08-09,HND,1.00,0.41
2025-08-09,HND,23.00,0.27
2025-08-09,HND,23.00,0.27
2025-08-09,HND,1.00,0.41
2025-08-09,HNL,59.00,0.22
2025-08-09,NAS,2.00,0.36
2025-08-09,PUJ,6.00,0.33
2025-08-10,AUA,12.00,0.33
2025-08-10,BRU,32.00,0.27
2025-08-10,CDG,82.00,0.21
2025-08-10,CUN,37.00,0.26
2025-08-10,CUN,3.00,0.43
2025-08-10,FRA,71.00,0.22
2025-08-10,FRA,7.00,0.38
2025-08-10,GRU,25.00,0.29
2025-08-10,HND,72.00,0.22
2025-08-10,HNL,104.00,0.19
2025-08-10,NAS,8.00,0.37
2025-08-10,PUJ,14.00,0.32
2025-08-10,PUJ,14.00,0.32
2025-08-10,PUJ,1.00,0.46
2025-08-10,PUJ,1.00,0.46
2025-08-11,BRU,5.00,0.32
2025-08-11,CDG,91.00,0.20
2025-08-11,CUN,36.00,0.25
2025-08-11,CUN,2.00,0.40
2025-08-11,FRA,140.00,0.19
2025-08-11,FRA,20.00,0.26
2025-08-11,GRU,4.00,0.33
2025-08-11,HND,189.00,0.17
2025-08-11,HNL,13.00,0.29
2025-08-11,PUJ,22.00,0.26
2025-08-12,BRU,3.00,0.42
2025-08-12,CDG,83.00,0.21
2025-08-12,CUN,175.00,0.16
2025-08-12,CUN,1.00,0.43
2025-08-12,FRA,34.00,0.26
2025-08-12,FRA,80.00,0.21
2025-08-12,GRU,26.00,0.28
2025-08-12,HND,151.00,0.17
2025-08-12,HNL,13.00,0.32
2025-08-12,PUJ,133.00,0.18
2025-08-13,BRU,1.00,0.44
2025-08-13,CDG,33.00,0.26
2025-08-13,CUN,48.00,0.24
2025-08-13,CUN,58.00,0.22
2025-08-13,FRA,30.00,0.27
2025-08-13,FRA,34.00,0.26
2025-08-13,GRU,46.00,0.24
2025-08-13,HND,144.00,0.16
2025-08-13,HNL,51.00,0.23
2025-08-13,PUJ,106.00,0.18
2025-08-14,BRU,1.00,0.50
2025-08-14,CDG,3.00,0.42
2025-08-14,CUN,82.00,0.23
2025-08-14,CUN,16.00,0.34
2025-08-14,FRA,41.00,0.29
2025-08-14,FRA,28.00,0.31
2025-08-14,GRU,46.00,0.28
2025-08-14,HND,9.00,0.35
2025-08-14,HNL,65.00,0.25
2025-08-14,PUJ,89.00,0.22
2025-08-15,BRU,1.00,0.53
2025-08-15,CDG,89.00,0.24
2025-08-15,CUN,119.00,0.22
2025-08-15,CUN,40.00,0.29
2025-08-15,FRA,8.00,0.36
2025-08-15,FRA,31.00,0.30
2025-08-15,GRU,25.00,0.31
2025-08-15,HND,43.00,0.29
2025-08-15,HNL,67.00,0.26
2025-08-15,PUJ,118.00,0.22
